,CarName,fueltype,carbody,drivewheel,enginelocation,enginetype,cylindernumber,price
0,2,1,0,2,0,0,2,13495.0
1,3,1,0,2,0,0,2,16500.0
2,1,1,2,2,0,5,3,16500.0
3,4,1,3,1,0,3,2,13950.0
4,5,1,3,0,0,3,1,17450.0
5,9,1,3,1,0,3,1,15250.0
6,5,1,3,1,0,3,1,17710.0
7,7,1,4,1,0,3,1,18920.0
8,6,1,3,1,0,3,1,23875.0
9,8,1,2,0,0,3,1,17859.167
10,10,1,3,2,0,3,2,16430.0
11,10,1,3,2,0,3,2,16925.0
12,11,1,3,2,0,3,3,20970.0
13,12,1,3,2,0,3,3,21105.0
14,15,1,3,2,0,3,3,24565.0
15,13,1,3,2,0,3,3,30760.0
16,14,1,3,2,0,3,3,41315.0
17,12,1,3,2,0,3,3,36880.0
18,24,1,2,1,0,2,4,5151.0
19,25,1,2,1,0,3,2,6295.0
20,26,1,3,1,0,3,2,6575.0
21,35,1,2,1,0,3,2,5572.0
22,27,1,2,1,0,3,2,6377.0
23,32,1,2,1,0,3,2,7957.0
24,34,1,2,1,0,3,2,6229.0
25,29,1,3,1,0,3,2,6692.0
26,28,1,3,1,0,3,2,7609.0
27,30,1,3,1,0,3,2,8558.0
28,33,1,4,1,0,3,2,8921.0
29,31,1,2,1,0,3,2,12964.0
30,39,1,2,1,0,3,2,6479.0
31,43,1,2,1,0,3,2,6855.0
32,39,1,2,1,0,3,2,5399.0
33,37,1,2,1,0,3,2,6529.0
34,43,1,2,1,0,3,2,7129.0
35,38,1,3,1,0,3,2,7295.0
36,42,1,4,1,0,3,2,7295.0
37,36,1,2,1,0,3,2,7895.0
38,41,1,2,1,0,3,2,9095.0
39,44,1,3,1,0,3,2,8845.0
40,36,1,3,1,0,3,2,10295.0
41,39,1,3,1,0,3,2,12945.0
42,40,1,3,1,0,3,2,10345.0
43,47,1,3,2,0,3,2,6785.0
44,45,1,3,1,0,3,2,8916.5
45,46,1,3,1,0,3,2,8916.5
46,45,1,2,2,0,3,2,11048.0
47,49,1,3,2,0,0,3,32250.0
48,48,1,3,2,0,0,3,35550.0
49,50,1,3,2,0,5,5,36000.0
50,52,1,2,1,0,3,2,5195.0
51,51,1,2,1,0,3,2,6095.0
52,61,1,2,1,0,3,2,6795.0
53,59,1,3,1,0,3,2,6695.0
54,58,1,3,1,0,3,2,7395.0
55,53,1,2,2,0,6,6,10945.0
56,54,1,2,2,0,6,6,11845.0
