CarName,fueltype,carbody,drivewheel,enginelocation,enginetype,cylindernumber,price
2,1,0,2,0,0,2,13495.0
3,1,0,2,0,0,2,16500.0
1,1,2,2,0,5,3,16500.0
4,1,3,1,0,3,2,13950.0
5,1,3,0,0,3,1,17450.0
9,1,3,1,0,3,1,15250.0
5,1,3,1,0,3,1,17710.0
7,1,4,1,0,3,1,18920.0
6,1,3,1,0,3,1,23875.0
8,1,2,0,0,3,1,17859.167
10,1,3,2,0,3,2,16430.0
10,1,3,2,0,3,2,16925.0
11,1,3,2,0,3,3,20970.0
12,1,3,2,0,3,3,21105.0
15,1,3,2,0,3,3,24565.0
13,1,3,2,0,3,3,30760.0
14,1,3,2,0,3,3,41315.0
12,1,3,2,0,3,3,36880.0
24,1,2,1,0,2,4,5151.0
25,1,2,1,0,3,2,6295.0
26,1,3,1,0,3,2,6575.0
35,1,2,1,0,3,2,5572.0
27,1,2,1,0,3,2,6377.0
32,1,2,1,0,3,2,7957.0
34,1,2,1,0,3,2,6229.0
29,1,3,1,0,3,2,6692.0
28,1,3,1,0,3,2,7609.0
30,1,3,1,0,3,2,8558.0
33,1,4,1,0,3,2,8921.0
31,1,2,1,0,3,2,12964.0
39,1,2,1,0,3,2,6479.0
43,1,2,1,0,3,2,6855.0
39,1,2,1,0,3,2,5399.0
37,1,2,1,0,3,2,6529.0
43,1,2,1,0,3,2,7129.0
38,1,3,1,0,3,2,7295.0
42,1,4,1,0,3,2,7295.0
36,1,2,1,0,3,2,7895.0
41,1,2,1,0,3,2,9095.0
44,1,3,1,0,3,2,8845.0
36,1,3,1,0,3,2,10295.0
39,1,3,1,0,3,2,12945.0
40,1,3,1,0,3,2,10345.0
47,1,3,2,0,3,2,6785.0
45,1,3,1,0,3,2,8916.5
46,1,3,1,0,3,2,8916.5
45,1,2,2,0,3,2,11048.0
49,1,3,2,0,0,3,32250.0
48,1,3,2,0,0,3,35550.0
50,1,3,2,0,5,5,36000.0
52,1,2,1,0,3,2,5195.0
51,1,2,1,0,3,2,6095.0
61,1,2,1,0,3,2,6795.0
59,1,3,1,0,3,2,6695.0
58,1,3,1,0,3,2,7395.0
53,1,2,2,0,6,6,10945.0
54,1,2,2,0,6,6,11845.0
60,1,2,2,0,6,6,13645.0
55,1,2,2,0,6,6,15645.0
53,1,2,1,0,3,2,8845.0
57,1,3,1,0,3,2,8495.0
56,1,2,1,0,3,2,10595.0
59,1,3,1,0,3,2,10245.0
58,0,3,1,0,3,2,10795.0
53,1,2,1,0,3,2,11245.0
54,1,3,2,0,3,2,18280.0
60,0,3,2,0,3,2,18344.0
19,0,3,2,0,3,1,25552.0
17,0,4,2,0,3,1,28248.0
16,0,1,2,0,3,1,28176.0
22,0,3,2,0,3,1,31600.0
20,1,3,2,0,5,0,34184.0
23,1,0,2,0,5,0,35056.0
18,1,3,2,0,5,0,40960.0
21,1,1,2,0,5,0,45400.0
62,1,2,2,0,3,2,16503.0
65,1,2,1,0,3,2,5389.0
64,1,2,1,0,3,2,6189.0
68,1,2,1,0,3,2,6669.0
63,1,2,1,0,3,2,7689.0
66,1,2,1,0,3,2,9959.0
63,1,2,1,0,3,2,8499.0
68,1,2,1,0,3,2,12629.0
63,1,2,1,0,3,2,14869.0
66,1,2,1,0,3,2,14489.0
67,1,3,1,0,3,2,6989.0
69,1,3,1,0,3,2,8189.0
68,1,3,1,0,3,2,9279.0
66,1,3,1,0,3,2,9279.0
0,1,3,1,0,3,2,5499.0
73,0,3,1,0,3,2,7099.0
81,1,3,1,0,3,2,6649.0
76,1,3,1,0,3,2,6849.0
83,1,4,1,0,3,2,7349.0
77,1,3,1,0,3,2,7299.0
74,1,2,1,0,3,2,7799.0
76,1,3,1,0,3,2,7499.0
78,1,4,1,0,3,2,7999.0
70,1,1,1,0,3,2,8249.0
81,1,2,1,0,3,2,8949.0
79,1,3,1,0,3,2,9549.0
71,1,3,1,0,5,3,13499.0
72,1,4,1,0,5,3,14399.0
80,1,3,1,0,5,3,13499.0
82,1,2,2,0,5,3,17199.0
75,1,2,2,0,5,3,19699.0
70,1,2,2,0,5,3,18399.0
85,1,3,2,0,2,2,11900.0
84,0,3,2,0,2,2,13200.0
86,1,4,2,0,2,2,12440.0
85,0,4,2,0,2,2,13860.0
85,1,3,2,0,2,2,15580.0
88,0,3,2,0,2,2,16900.0
85,1,4,2,0,2,2,16695.0
87,0,4,2,0,2,2,17075.0
85,1,3,2,0,2,2,16630.0
85,0,3,2,0,2,2,17950.0
88,1,3,2,0,2,2,18150.0
92,1,2,1,0,3,2,5572.0
89,1,2,1,0,3,2,7957.0
92,1,2,1,0,3,2,6229.0
93,1,3,1,0,3,2,6692.0
91,1,3,1,0,3,2,7609.0
94,1,4,1,0,3,2,8921.0
90,1,2,2,0,3,2,12764.0
98,1,2,2,0,3,2,22018.0
95,1,1,2,1,4,3,32528.0
97,1,1,2,1,4,3,34028.0
96,1,0,2,1,4,3,37028.0
97,1,2,2,0,1,0,31400.5
99,1,4,1,0,3,2,9295.0
100,1,2,1,0,3,2,9895.0
101,1,2,1,0,3,2,11850.0
103,1,3,1,0,3,2,12170.0
103,1,2,1,0,3,2,15040.0
102,1,3,1,0,3,2,15510.0
102,1,2,1,0,0,2,18150.0
101,1,3,1,0,0,2,18620.0
104,1,2,1,0,4,2,5118.0
107,1,2,1,0,4,2,7053.0
107,1,2,0,0,4,2,7603.0
104,1,3,1,0,4,2,7126.0
106,1,3,1,0,4,2,7775.0
105,1,3,1,0,4,2,9960.0
108,1,3,0,0,4,2,9233.0
109,1,3,0,0,4,2,11259.0
110,1,4,1,0,4,2,7463.0
111,1,4,1,0,4,2,10198.0
107,1,4,0,0,4,2,8013.0
107,1,4,0,0,4,2,11694.0
123,1,2,1,0,3,2,5348.0
120,1,2,1,0,3,2,6338.0
116,1,2,1,0,3,2,6488.0
121,1,4,1,0,3,2,6918.0
117,1,4,0,0,3,2,7898.0
112,1,4,0,0,3,2,8778.0
125,1,3,1,0,3,2,6938.0
116,1,2,1,0,3,2,7198.0
120,0,3,1,0,3,2,7898.0
115,0,2,1,0,3,2,7788.0
120,1,3,1,0,3,2,7738.0
115,1,2,1,0,3,2,8358.0
125,1,3,1,0,3,2,9258.0
118,1,3,2,0,3,2,8058.0
120,1,2,2,0,3,2,8238.0
114,1,3,2,0,0,2,9298.0
119,1,2,2,0,0,2,9538.0
122,1,1,2,0,3,2,8449.0
115,1,1,2,0,3,2,9639.0
126,1,2,2,0,3,2,9989.0
127,1,1,2,0,3,2,11199.0
115,1,2,2,0,3,2,11549.0
124,1,0,2,0,3,2,17669.0
115,1,3,1,0,3,2,8948.0
113,0,3,1,0,3,2,10698.0
120,1,2,1,0,3,2,9988.0
115,1,3,1,0,3,2,10898.0
125,1,2,1,0,3,2,11248.0
118,1,2,2,0,0,3,16558.0
120,1,2,2,0,0,3,15998.0
126,1,3,2,0,0,3,15690.0
128,1,4,2,0,0,3,15750.0
